timestamp,location_id,traffic_volume,avg_vehicle_speed,vehicle_count_cars,vehicle_count_trucks,vehicle_count_bikes,weather_condition,temperature,humidity,accident_reported,signal_status
2024-01-01 00:00:00,2,349,54.01,270,39,53,Sunny,23.38,60.5,0,Green
2024-01-01 00:01:00,5,541,41.78,454,82,9,Rainy,34.02,75.35,0,Green
2024-01-01 00:02:00,1,345,31.6,226,55,34,Windy,30.21,30.97,0,Yellow
2024-01-01 00:03:00,5,249,38.02,180,35,58,Rainy,34.79,90.01,0,Red
2024-01-01 00:04:00,4,319,45.02,180,84,17,Sunny,33.94,57.04,0,Red
2024-01-01 00:05:00,2,918,75.29,764,72,41,Rainy,24.4,83.67,0,Yellow
2024-01-01 00:06:00,5,529,25.89,377,63,48,Cloudy,24.86,77.83,0,Green
2024-01-01 00:07:00,2,343,58.84,276,36,24,Rainy,37.46,34.83,0,Green
2024-01-01 00:08:00,5,377,78.59,273,95,33,Sunny,37.02,39.87,1,Green
2024-01-01 00:09:00,5,493,35.15,420,62,48,Windy,29.18,53.47,1,Green
2024-01-01 00:10:00,1,744,60.72,717,11,5,Cloudy,37.89,32.95,0,Green
2024-01-01 00:11:00,2,584,44.8,546,62,10,Rainy,17.76,37.78,0,Green
2024-01-01 00:12:00,3,754,39.72,608,94,56,Cloudy,25.1,89.21,0,Yellow
2024-01-01 00:13:00,2,262,39.46,145,85,25,Rainy,32.66,57.29,0,Green
2024-01-01 00:14:00,2,709,38.27,696,25,20,Windy,31.85,68.69,0,Yellow
2024-01-01 00:15:00,2,780,56.71,753,15,11,Cloudy,19.89,38.13,0,Green
2024-01-01 00:16:00,1,812,57.41,731,64,58,Windy,36.42,49.95,0,Red
2024-01-01 00:17:00,4,211,24.05,136,28,28,Windy,36.17,45.3,0,Yellow
2024-01-01 00:18:00,2,731,27.11,626,86,46,Windy,35.73,94.61,0,Green
2024-01-01 00:19:00,1,375,64.9,283,39,7,Sunny,23.29,93.77,0,Green
