timestamp,location_id,traffic_volume,avg_vehicle_speed,vehicle_count_cars,vehicle_count_trucks,vehicle_count_bikes,weather_condition,temperature,humidity,accident_reported,signal_status
2024-01-01 00:00:00,8,900,20.88,471,0,42,Rainy,16.8,73.7,0,Red
2024-01-01 00:10:00,2,958,5.0,549,0,0,Cloudy,22.32,69.3,0,Red
2024-01-01 00:20:00,2,797,10.6,407,0,26,Rainy,14.06,42.53,0,Green
2024-01-01 00:30:00,1,801,14.22,188,158,0,Rainy,14.21,61.94,0,Yellow
2024-01-01 00:40:00,5,989,13.89,333,60,0,Cloudy,16.41,36.43,0,Red
2024-01-01 00:50:00,3,695,52.45,380,115,69,Rainy,15.2,51.33,0,Yellow
2024-01-01 01:00:00,2,625,41.47,70,112,127,Foggy,15.73,42.49,0,Red
2024-01-01 01:10:00,3,398,34.49,0,62,62,Stormy,14.59,74.19,0,Yellow
2024-01-01 01:20:00,2,1075,11.21,530,64,80,Cloudy,8.38,50.5,0,Green
2024-01-01 01:30:00,8,938,13.88,302,184,11,Sunny,14.17,79.75,0,Green
2024-01-01 01:40:00,8,1131,24.79,558,204,44,Sunny,7.79,82.94,0,Red
2024-01-01 01:50:00,3,283,44.18,11,0,8,Stormy,15.56,31.1,0,Green
2024-01-01 02:00:00,4,981,39.78,321,24,0,Cloudy,10.3,77.88,0,Yellow
2024-01-01 02:10:00,2,907,5.0,380,34,0,Cloudy,3.18,40.1,0,Red
2024-01-01 02:20:00,1,538,28.2,0,0,30,Foggy,4.75,55.34,0,Red
2024-01-01 02:30:00,7,554,5.0,383,54,0,Foggy,11.52,75.17,0,Green
2024-01-01 02:40:00,7,713,47.45,337,110,60,Foggy,2.35,89.19,0,Green
2024-01-01 02:50:00,5,718,25.06,422,17,3,Rainy,7.35,46.91,0,Red
2024-01-01 03:00:00,7,497,18.05,346,67,11,Foggy,4.85,45.8,0,Green
2024-01-01 03:10:00,8,521,14.99,374,0,0,Rainy,12.63,55.39,0,Green
2024-01-01 03:20:00,3,550,26.0,247,0,16,Rainy,9.03,41.45,0,Yellow
2024-01-01 03:30:00,3,758,32.68,389,8,0,Cloudy,6.74,45.76,0,Red
2024-01-01 03:40:00,9,692,32.67,554,0,32,Cloudy,10.05,42.63,0,Green
2024-01-01 03:50:00,4,682,18.48,137,0,69,Cloudy,11.03,70.5,0,Red
2024-01-01 04:00:00,7,461,41.75,115,0,0,Cloudy,11.51,46.58,0,Red
2024-01-01 04:10:00,5,535,46.27,114,166,0,Rainy,19.02,24.35,0,Red
2024-01-01 04:20:00,6,336,44.24,83,32,22,Rainy,10.03,44.35,0,Green
2024-01-01 04:30:00,1,204,52.46,188,0,2,Foggy,0.86,61.63,0,Red
2024-01-01 04:40:00,2,434,47.51,173,0,58,Sunny,11.6,61.91,0,Red
2024-01-01 04:50:00,2,342,45.51,135,34,27,Rainy,3.76,51.31,0,Green
2024-01-01 05:00:00,7,144,26.9,0,17,0,Rainy,9.41,35.56,0,Yellow
2024-01-01 05:10:00,8,283,30.91,120,11,0,Rainy,12.16,80.99,0,Green
2024-01-01 05:20:00,7,466,44.86,355,0,9,Sunny,11.98,36.6,0,Green
2024-01-01 05:30:00,7,235,20.82,13,111,0,Rainy,10.5,71.01,0,Yellow
2024-01-01 05:40:00,2,279,45.41,342,0,0,Stormy,4.32,42.39,0,Green
2024-01-01 05:50:00,8,269,42.88,144,0,0,Stormy,14.24,62.9,0,Green
2024-01-01 06:00:00,8,166,72.66,62,36,8,Foggy,15.1,43.44,0,Yellow
2024-01-01 06:10:00,3,197,55.96,12,0,65,Foggy,8.03,38.16,0,Red
2024-01-01 06:20:00,6,220,24.9,143,0,61,Cloudy,9.15,54.75,0,Red
2024-01-01 06:30:00,8,121,18.46,227,27,18,Stormy,4.55,27.81,0,Yellow
2024-01-01 06:40:00,7,288,32.15,90,0,0,Foggy,5.76,19.64,0,Red
2024-01-01 06:50:00,6,269,67.32,92,44,0,Rainy,12.05,52.19,0,Green
2024-01-01 07:00:00,6,49,38.2,13,0,0,Stormy,11.43,35.37,0,Red
2024-01-01 07:10:00,8,162,19.39,0,86,0,Foggy,11.5,56.27,0,Yellow
2024-01-01 07:20:00,4,187,56.96,0,40,55,Foggy,14.12,39.93,0,Green
2024-01-01 07:30:00,1,236,36.79,295,49,0,Foggy,18.94,40.73,0,Red
2024-01-01 07:40:00,8,244,34.23,157,165,0,Cloudy,13.25,26.49,0,Red
2024-01-01 07:50:00,8,10,32.29,270,190,47,Cloudy,10.05,67.87,0,Red
2024-01-01 08:00:00,9,297,65.99,1,115,29,Foggy,1.1,45.95,0,Green
2024-01-01 08:10:00,9,143,56.81,0,42,18,Foggy,16.36,17.61,0,Yellow
2024-01-01 08:20:00,8,412,26.43,85,0,85,Rainy,4.2,51.75,0,Yellow
2024-01-01 08:30:00,4,336,38.22,173,0,0,Foggy,18.08,31.22,1,Yellow
2024-01-01 08:40:00,5,163,56.74,8,0,0,Foggy,16.82,29.71,0,Green
2024-01-01 08:50:00,6,228,15.97,69,74,0,Foggy,18.35,97.08,0,Red
2024-01-01 09:00:00,3,305,31.4,92,91,0,Foggy,15.82,51.4,0,Red
